Person ID,First name,Last name,Party,Constituency,URI,flastname,firstnamelastname,subdomain,user
26508,Harpreet,Uppal,Labour,Huddersfield,https://www.theyworkforyou.com/mp/26508/harpreet_uppal/huddersfield,huppal,harpreetuppal,https://huppal.caseworkermp.com,TRUE
26540,Freddie,Van Mierlo,Liberal Democrat,Henley and Thame,https://www.theyworkforyou.com/mp/26540/freddie_van_mierlo/henley_and_thame,fvanmierlo,freddievanmierlo,https://fvanmierlo.caseworkermp.com,TRUE
26346,Tony,Vaughan,Labour,Folkestone and Hythe,https://www.theyworkforyou.com/mp/26346/tony_vaughan/folkestone_and_hythe,tvaughan,tonyvaughan,https://tvaughan.caseworkermp.com,TRUE
24852,Valerie,Vaz,Labour,Walsall and Bloxwich,https://www.theyworkforyou.com/mp/24852/valerie_vaz/walsall_and_bloxwich,vvaz,valerievaz,https://vvaz.caseworkermp.com,TRUE
24814,Martin,Vickers,Conservative,Brigg and Immingham,https://www.theyworkforyou.com/mp/24814/martin_vickers/brigg_and_immingham,martinvickers,martinvickers,https://martinvickers.caseworkermp.com,TRUE
25853,Matt,Vickers,Conservative,Stockton West,https://www.theyworkforyou.com/mp/25853/matt_vickers/stockton_west,mvickers,mattvickers,,FALSE
26350,Christopher,Vince,Labour/Co-operative,Harlow,https://www.theyworkforyou.com/mp/26350/christopher_vince/harlow,cvince,christophervince,https://cvince.caseworkermp.com,TRUE
26511,Caroline,Voaden,Liberal Democrat,South Devon,https://www.theyworkforyou.com/mp/26511/caroline_voaden/south_devon,cvoaden,carolinevoaden,https://cvoaden.caseworkermp.com,TRUE
25874,Christian,Wakeford,Labour,Bury South,https://www.theyworkforyou.com/mp/25874/christian_wakeford/bury_south,cwakeford,christianwakeford,https://cwakeford.caseworkermp.com,TRUE
26409,Imogen,Walker,Labour,Hamilton and Clyde Valley,https://www.theyworkforyou.com/mp/26409/imogen_walker/hamilton_and_clyde_valley,iwalker,imogenwalker,https://iwalker.caseworkermp.com,TRUE
26519,Chris,Ward,Labour,Brighton Kemptown and Peacehaven,https://www.theyworkforyou.com/mp/26519/chris_ward/brighton_kemptown_and_peacehaven,cward,chrisward,https://cward.caseworkermp.com,TRUE
26610,Melanie,Ward,Labour,Cowdenbeath and Kirkcaldy,https://www.theyworkforyou.com/mp/26610/melanie_ward/cowdenbeath_and_kirkcaldy,mward,melanieward,https://mward.caseworkermp.com,TRUE
26319,Paul,Waugh,Labour/Co-operative,Rochdale,https://www.theyworkforyou.com/mp/26319/paul_waugh/rochdale,pwaugh,paulwaugh,https://pwaugh.caseworkermp.com,TRUE
26305,Chris,Webb,Labour,Blackpool South,https://www.theyworkforyou.com/mp/26305/chris_webb/blackpool_south,cwebb,chriswebb,https://cwebb.caseworkermp.com,TRUE
26550,Michelle,Welsh,Labour,Sherwood Forest,https://www.theyworkforyou.com/mp/26550/michelle_welsh/sherwood_forest,mwelsh,michellewelsh,https://mwelsh.caseworkermp.com,TRUE
