Request URL,# Redirects,Status Code,URL,Error Message
,,200,https://hbenn.caseworkermp.com/,
http://abennett.caseworkermp.com,1,302,http://abennett.caseworkermp.com,
,,200,https://abennett.caseworkermp.com/,
http://sberry.caseworkermp.com,1,302,http://sberry.caseworkermp.com,
,,200,https://sberry.caseworkermp.com/,
http://cbetts.caseworkermp.com,1,302,http://cbetts.caseworkermp.com,
,,200,https://cbetts.caseworkermp.com/,
http://sbhatti.caseworkermp.com,1,302,http://sbhatti.caseworkermp.com,
,,200,https://sbhatti.caseworkermp.com/,
http://pbillington.caseworkermp.com,1,302,http://pbillington.caseworkermp.com,
,,200,https://pbillington.caseworkermp.com/,
http://mbishop.caseworkermp.com,1,302,http://mbishop.caseworkermp.com,
,,200,https://mbishop.caseworkermp.com/,
http://bblackman.caseworkermp.com,1,302,http://bblackman.caseworkermp.com,
,,200,https://bblackman.caseworkermp.com/,
http://kblackman.caseworkermp.com,1,302,http://kblackman.caseworkermp.com,
,,200,https://kblackman.caseworkermp.com/,
http://oblake.caseworkermp.com,1,302,http://oblake.caseworkermp.com,
,,200,https://oblake.caseworkermp.com/,
http://rblake.caseworkermp.com,1,302,http://rblake.caseworkermp.com,
,,200,https://rblake.caseworkermp.com/,
http://cbloore.caseworkermp.com,1,302,http://cbloore.caseworkermp.com,
,,200,https://cbloore.caseworkermp.com/,
http://eblundell.caseworkermp.com,1,302,http://eblundell.caseworkermp.com,
,,200,https://eblundell.caseworkermp.com/,
http://kbonavia.caseworkermp.com,1,302,http://kbonavia.caseworkermp.com,
,,200,https://kbonavia.caseworkermp.com/,
http://sbool.caseworkermp.com,1,302,http://sbool.caseworkermp.com,
,,200,https://sbool.caseworkermp.com/,
http://jbotterill.caseworkermp.com,1,302,http://jbotterill.caseworkermp.com,
,,200,https://jbotterill.caseworkermp.com/,
http://abowie.caseworkermp.com,1,302,http://abowie.caseworkermp.com,
,,200,https://abowie.caseworkermp.com/,
http://sbrackenridge.caseworkermp.com,1,302,http://sbrackenridge.caseworkermp.com,
,,200,https://sbrackenridge.caseworkermp.com/,
http://kbradley.caseworkermp.com,1,302,http://kbradley.caseworkermp.com,
,,200,https://kbradley.caseworkermp.com/,
http://abrandreth.caseworkermp.com,1,302,http://abrandreth.caseworkermp.com,
,,200,https://abrandreth.caseworkermp.com/,
http://jbrash.caseworkermp.com,1,302,http://jbrash.caseworkermp.com,
,,200,https://jbrash.caseworkermp.com/,
http://sbraverman.caseworkermp.com,1,302,http://sbraverman.caseworkermp.com,
,,200,https://sbraverman.caseworkermp.com/,
